i,v
-0.0018412255844616615,-10.2
-5.8578394955616925e-05,-3.48
-5.457240819272194e-05,-1.712
2.6324216961776115e-05,-1.506
3.466840634816504e-05,-1.418
0.00011121217836682594,-1.186
5.6317049903050614e-05,-0.95
1.0250575091442192e-05,-0.537
2.513797351321248e-06,-0.307
1.1765441579024167e-05,-0.1555
1.8261827436508518e-06,-0.1237
-6.843371839499704e-06,-0.0857
-6.3581908678477135e-06,-0.0523
-7.601139706610034e-06,-0.0412
-8.90699564736196e-06,-0.0334
-1.0094267721840575e-05,-0.0162
-1.1182481005800527e-05,-0.0097
-1.2463897139527209e-05,-0.0003
-2.6502781802219396e-05,0.142
-5.177391946618783e-05,0.247
7.930346413095824e-05,0.383
0.00032694627912039243,0.466
0.0019352904685067812,0.554
0.0026095348665770334,0.57
0.0033680598144060683,0.588
0.004916548610546574,0.62
0.005269390259822916,0.626
0.005890793008616825,0.636
