i,v
-0.010400000000000001,-1.708
-0.0079,-1.626
-0.0037,-1.4
-0.0025,-1.296
-0.0018000000000000002,-1.209
-0.0011,-1.111
-0.00071,-1.018
-0.00044,-0.929
-0.00022,-0.814
-0.00017,-0.744
-6.8e-05,-0.62
-2.8e-05,-0.499
-1.4e-05,-0.396
-7.4e-06,-0.308
-2.0e-06,-0.115
-1.0e-06,-0.0594
-5.0e-07,-0.0292
-3.0e-07,-0.013800000000000002
0,-0.0009000000000000001
6.3e-06,0.13
5.7e-05,0.272
0.000173,0.342
0.00041,0.408
0.0006,0.417
0.0013000000000000002,0.479
0.0018000000000000002,0.506
0.0025,0.54
0.0034,0.572
0.0039,0.59
0.0048,0.617
0.006200000000000001,0.651
0.008199999999999999,0.693
