i,v
0.01,0.844
0.0091,0.815
0.008199999999999999,0.785
0.0066,0.704
0.0045000000000000005,0.542
0.0037,0.455
0.0028,0.348
0.0022,0.275
0.0017,0.207
0.0012,0.146
0.0009699999999999999,0.121
0.0007199999999999999,0.0903
0.00062,0.0783
0.0005200000000000001,0.06559999999999999
0.000176,0.022
5.0e-06,0.0007
-3.0e-06,-0.0003
-0.000126,-0.0158
-0.000226,-0.028300000000000002
-0.000472,-0.0594
-0.000618,-0.07790000000000001
-0.00082,-0.103
-0.00092,-0.115
-0.0011,-0.143
-0.00127,-0.159
-0.00147,-0.184
-0.0016,-0.203
-0.004900000000000001,-0.617
-0.0099,-1.218
