i,v
0.0031695001737205254,0.844
0.0025039150706401784,0.815
0.0018464132398674036,0.785
0.0009011582967809175,0.704
0.00011064841060794313,0.542
1.389310136690105e-05,0.455
-2.1196761722656107e-05,0.348
-3.111788326973751e-05,0.275
1.8544633645310813e-05,0.207
1.1624244407338778e-05,0.146
-1.6293947903305234e-05,0.121
-1.8137488060776465e-05,0.0903
-2.1138220369885507e-05,0.0783
-1.8480662063692687e-05,0.06559999999999999
-1.00499894534563e-05,0.022
-8.876289302125148e-06,0.0007
-8.793016994550915e-06,-0.0003
-6.502296227150312e-06,-0.0158
-5.461392382472387e-06,-0.028300000000000002
-7.162361691373043e-08,-0.0594
3.4689140732096623e-06,-0.07790000000000001
4.359048993322749e-06,-0.103
1.3583166842135981e-06,-0.115
4.7689941296291845e-05,-0.143
7.022298217479765e-06,-0.159
9.104105906835615e-06,-0.184
3.268627975074609e-05,-0.203
7.916101508647754e-05,-0.617
-6.279232806141039e-05,-1.218
