i,v
-0.009000000000000001,-0.991
-0.0068,-0.911
-0.005900000000000001,-0.874
-0.0044,-0.802
-0.0039,-0.774
-0.0033,-0.734
-0.0029,-0.709
-0.0017,-0.614
-0.00115,-0.538
-0.000743,-0.458
-0.000439,-0.35
-0.00014,-0.142
-7.3e-05,-0.07529999999999999
-3.3e-05,-0.0346
-8.0e-07,-0.0008
8.0e-07,0.105
9.6e-05,0.123
0.00023,0.165
0.000226,0.19
0.00041,0.267
0.00059,0.311
0.00077,0.339
0.0013000000000000002,0.39
0.0018000000000000002,0.418
0.0023,0.44
0.0029,0.459
0.0039,0.486
0.0048,0.505
0.0055,0.519
0.006500000000000001,0.538
0.0075,0.554
0.0083,0.565
0.0094,0.582
