second,Volt
-10.480000E-03,
-10.471600E-03,-2.010050297E+00
-10.463200E-03,-2.010050297E+00
-10.454800E-03,-2.010050297E+00
-10.446400E-03,-2.010050297E+00
-10.438000E-03,-4.020100594E+00
-10.429600E-03,-4.020100594E+00
-10.421200E-03,-4.020100594E+00
-10.412800E-03,-4.020100594E+00
-10.404400E-03,-4.773869455E+00
-10.396000E-03,-6.030150890E+00
-10.387600E-03,-6.030150890E+00
-10.379200E-03,-6.030150890E+00
-10.370800E-03,-7.160804182E+00
-10.362400E-03,-6.030150890E+00
-10.354000E-03,-6.783919752E+00
-10.345600E-03,-6.030150890E+00
-10.337200E-03,-6.030150890E+00
-10.328800E-03,-6.783919752E+00
-10.320400E-03,-8.040201187E+00
-10.312000E-03,-8.040201187E+00
-10.303600E-03,-8.040201187E+00
-10.295200E-03,-8.040201187E+00
-10.286800E-03,-8.040201187E+00
-10.278400E-03,-7.160804182E+00
-10.270000E-03,-8.040201187E+00
-10.261600E-03,-7.160804182E+00
-10.253200E-03,-8.040201187E+00
-10.244800E-03,-8.040201187E+00
-10.236400E-03,-8.040201187E+00
-10.228000E-03,-8.040201187E+00
-10.219600E-03,-8.040201187E+00
-10.211200E-03,-8.040201187E+00
-10.202800E-03,-8.040201187E+00
-10.194400E-03,-8.040201187E+00
-10.186000E-03,-8.040201187E+00
-10.177600E-03,-8.040201187E+00
-10.169200E-03,-6.783919752E+00
-10.160800E-03,-8.040201187E+00
-10.152400E-03,-8.040201187E+00
-10.144000E-03,-7.160804182E+00
-10.135600E-03,-6.030150890E+00
-10.127200E-03,-8.040201187E+00
-10.118800E-03,-6.783919752E+00
-10.110400E-03,-6.783919752E+00
-10.102000E-03,-7.160804182E+00
-10.093600E-03,-8.040201187E+00
-10.085200E-03,-8.040201187E+00
-10.076800E-03,-8.040201187E+00
-10.068400E-03,-8.040201187E+00
-10.060000E-03,-7.160804182E+00
-10.051600E-03,-6.783919752E+00
-10.043200E-03,-6.030150890E+00
-10.034800E-03,-7.160804182E+00
-10.026400E-03,-8.040201187E+00
-10.018000E-03,-6.783919752E+00
-10.009600E-03,-8.040201187E+00
-10.001200E-03,-6.783919752E+00
-9.992800E-03,-6.783919752E+00
-9.984400E-03,-6.783919752E+00
-9.976000E-03,-6.783919752E+00
-9.967600E-03,-6.030150890E+00
-9.959200E-03,-8.040201187E+00
-9.950800E-03,-6.783919752E+00
-9.942400E-03,-6.783919752E+00
-9.934000E-03,-6.030150890E+00
-9.925600E-03,-6.030150890E+00
-9.917200E-03,-7.160804182E+00
-9.908800E-03,-6.030150890E+00
-9.900400E-03,-8.040201187E+00
-9.892000E-03,-6.030150890E+00
-9.883600E-03,-6.030150890E+00
-9.875200E-03,-6.030150890E+00
-9.866800E-03,-6.030150890E+00
-9.858400E-03,-6.030150890E+00
-9.850000E-03,-8.040201187E+00
