second,Volt
-14.660000E-03,
-14.651600E-03,
-14.643200E-03,-2.010050297E+00
-14.634800E-03,-2.010050297E+00
-14.626400E-03,-2.010050297E+00
-14.618000E-03,-2.010050297E+00
-14.609600E-03,-4.020100594E+00
-14.601200E-03,-4.020100594E+00
-14.592800E-03,-4.020100594E+00
-14.584400E-03,-4.020100594E+00
-14.576000E-03,-4.020100594E+00
-14.567600E-03,-4.020100594E+00
-14.559200E-03,-4.396985024E+00
-14.550800E-03,-4.020100594E+00
-14.542400E-03,-4.020100594E+00
-14.534000E-03,-4.020100594E+00
-14.525600E-03,-6.030150890E+00
-14.517200E-03,-5.527638316E+00
-14.508800E-03,-4.020100594E+00
-14.500400E-03,-4.020100594E+00
-14.492000E-03,-4.020100594E+00
-14.483600E-03,-4.020100594E+00
-14.475200E-03,-6.030150890E+00
-14.466800E-03,-4.396985024E+00
-14.458400E-03,-6.030150890E+00
-14.450000E-03,-4.020100594E+00
-14.441600E-03,-4.020100594E+00
-14.433200E-03,-4.020100594E+00
-14.424800E-03,-4.020100594E+00
-14.416400E-03,-4.020100594E+00
-14.408000E-03,-4.020100594E+00
-14.399600E-03,-4.020100594E+00
-14.391200E-03,-5.527638316E+00
-14.382800E-03,-4.020100594E+00
-14.374400E-03,-4.020100594E+00
-14.366000E-03,-4.020100594E+00
-14.357600E-03,-4.396985024E+00
-14.349200E-03,-4.020100594E+00
-14.340800E-03,-4.020100594E+00
-14.332400E-03,-4.020100594E+00
-14.324000E-03,-4.020100594E+00
-14.315600E-03,-4.020100594E+00
-14.307200E-03,-4.020100594E+00
-14.298800E-03,-4.020100594E+00
-14.290400E-03,-4.020100594E+00
-14.282000E-03,-4.020100594E+00
-14.273600E-03,-4.020100594E+00
-14.265200E-03,-4.020100594E+00
-14.256800E-03,-4.020100594E+00
-14.248400E-03,-4.020100594E+00
-14.240000E-03,-5.527638316E+00
-14.231600E-03,-4.020100594E+00
-14.223200E-03,-4.020100594E+00
-14.214800E-03,-4.020100594E+00
-14.206400E-03,-4.020100594E+00
-14.198000E-03,-4.020100594E+00
-14.189600E-03,-4.020100594E+00
-14.181200E-03,-4.020100594E+00
-14.172800E-03,-4.020100594E+00
-14.164400E-03,-4.020100594E+00
-14.156000E-03,-4.020100594E+00
-14.147600E-03,-4.020100594E+00
-14.139200E-03,-4.020100594E+00
-14.130800E-03,-4.020100594E+00
-14.122400E-03,-4.020100594E+00
-14.114000E-03,-4.020100594E+00
-14.105600E-03,-6.030150890E+00
-14.097200E-03,-4.020100594E+00
-14.088800E-03,-4.020100594E+00
-14.080400E-03,-4.020100594E+00
-14.072000E-03,-4.020100594E+00
-14.063600E-03,-4.020100594E+00
-14.055200E-03,-4.020100594E+00
