i,v
0.003168390550630013,0.844
0.0025028296659537035,0.815
0.0018453528887023458,0.785
0.0009001655901236891,0.704
0.00010979099296637256,0.542
1.3108338937442739e-05,0.455
-2.1892166592389975e-05,0.348
-3.175232457068751e-05,0.275
1.796698032624131e-05,0.207
1.109753324848601e-05,0.146
-1.6799781127643104e-05,0.121
-1.8617683181529755e-05,0.0903
-2.1608394082071663e-05,0.0783
-1.894022978514518e-05,0.06559999999999999
-1.047314605711453e-05,0.022
-9.281657905576583e-06,0.0007
-9.197550480621749e-06,-0.0003
-6.89388539382182e-06,-0.0158
-5.842542581886365e-06,-0.028300000000000002
-4.2680166579102743e-07,-0.0594
3.1291856958734357e-06,-0.07790000000000001
4.040282062239635e-06,-0.103
1.0495711616977273e-06,-0.115
4.740457906043287e-05,-0.143
6.750297859710232e-06,-0.159
8.852983483581198e-06,-0.184
3.245102455772301e-05,-0.203
7.927149848902318e-05,-0.617
-6.217993911312135e-05,-1.218
